date,WBA
2014-08-07,9.200000000000001
2014-08-08,11.270000000000001
2014-08-09,14.950000000000001
2014-08-10,10.120000000000001
2014-08-11,10.58
2014-08-12,12.88
2014-08-13,5.5200000000000005
2014-08-14,0.0
2014-08-15,6.44
2014-08-16,9.200000000000001
2014-08-17,8.97
2014-08-18,6.44
2014-08-19,8.74
2014-08-20,5.75
2014-08-21,8.05
2014-08-22,8.97
2014-08-23,13.57
2014-08-24,12.88
2014-08-25,0.0
2014-08-26,0.0
2014-08-27,11.040000000000001
2014-08-28,15.180000000000001
2014-08-29,17.48
2014-08-30,0.0
2014-08-31,23.0
2014-09-01,0.0
2014-09-02,17.52
2014-09-03,0.0
2014-09-04,0.0
2014-09-05,0.0
2014-09-06,8.879999999999999
2014-09-07,8.879999999999999
2014-09-08,10.32
2014-09-09,14.639999999999999
2014-09-10,14.639999999999999
2014-09-11,11.04
2014-09-12,13.44
2014-09-13,20.16
2014-09-14,15.12
2014-09-15,7.92
2014-09-16,6.72
2014-09-17,6.96
2014-09-18,0.0
2014-09-19,12.24
2014-09-20,7.199999999999999
2014-09-21,21.84
2014-09-22,5.76
2014-09-23,10.08
2014-09-24,7.92
2014-09-25,9.84
2014-09-26,12.0
2014-09-27,6.96
2014-09-28,24.0
2014-09-29,8.4
2014-09-30,14.639999999999999
2014-10-01,0.0
2014-10-02,6.08
2014-10-03,5.7
2014-10-04,14.44
2014-10-05,6.84
2014-10-06,11.02
2014-10-07,6.46
2014-10-08,2.2800000000000002
2014-10-09,3.42
2014-10-10,3.42
2014-10-11,3.8
2014-10-12,10.64
2014-10-13,6.46
2014-10-14,11.02
2014-10-15,4.94
2014-10-16,3.8
2014-10-17,4.94
2014-10-18,4.94
2014-10-19,11.4
2014-10-20,38.0
2014-10-21,6.08
2014-10-22,4.5600000000000005
2014-10-23,4.18
2014-10-24,0.0
2014-10-25,6.46
2014-10-26,4.94
2014-10-27,9.5
2014-10-28,4.18
2014-10-29,3.42
2014-10-30,7.6
2014-10-31,2.2800000000000002
2014-11-01,11.16
2014-11-02,14.76
2014-11-03,12.24
2014-11-04,7.199999999999999
2014-11-05,3.2399999999999998
2014-11-06,11.16
2014-11-07,7.56
2014-11-08,6.4799999999999995
2014-11-09,15.12
2014-11-10,3.2399999999999998
2014-11-11,2.52
2014-11-12,5.04
2014-11-13,2.88
2014-11-14,9.36
2014-11-15,7.92
2014-11-16,14.76
2014-11-17,13.68
2014-11-18,6.84
2014-11-19,3.96
2014-11-20,8.28
2014-11-21,9.0
2014-11-22,36.0
2014-11-23,26.64
2014-11-24,9.36
2014-11-25,9.36
2014-11-26,3.96
2014-11-27,0.0
2014-11-28,9.36
2014-11-29,23.04
2014-11-30,3.5999999999999996
2014-12-01,5.29
2014-12-02,8.51
2014-12-03,2.5300000000000002
2014-12-04,2.99
2014-12-05,0.0
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,5.29
2014-12-09,5.75
2014-12-10,5.5200000000000005
2014-12-11,4.6000000000000005
2014-12-12,7.82
2014-12-13,7.36
2014-12-14,15.64
2014-12-15,9.43
2014-12-16,0.0
2014-12-17,4.37
2014-12-18,7.13
2014-12-19,7.13
2014-12-20,5.75
2014-12-21,6.21
2014-12-22,10.58
2014-12-23,7.13
2014-12-24,5.29
2014-12-25,3.22
2014-12-26,0.0
2014-12-27,23.0
2014-12-28,0.0
2014-12-29,0.0
2014-12-30,4.83
2014-12-31,17.71
2015-01-01,32.43
2015-01-02,33.37
2015-01-03,28.669999999999998
2015-01-04,31.02
2015-01-05,37.129999999999995
2015-01-06,17.86
2015-01-07,47.0
2015-01-08,28.2
2015-01-09,28.669999999999998
2015-01-10,29.61
2015-01-11,5.17
2015-01-12,32.9
2015-01-13,14.1
2015-01-14,30.08
2015-01-15,29.139999999999997
2015-01-16,16.45
2015-01-17,40.89
2015-01-18,14.569999999999999
2015-01-19,41.83
2015-01-20,23.97
2015-01-21,14.569999999999999
2015-01-22,9.87
2015-01-23,18.799999999999997
2015-01-24,10.809999999999999
2015-01-25,23.029999999999998
2015-01-26,23.97
2015-01-27,10.809999999999999
2015-01-28,21.619999999999997
2015-01-29,15.979999999999999
2015-01-30,16.45
2015-01-31,26.32
2015-02-01,11.76
2015-02-02,36.12
2015-02-03,21.0
2015-02-04,21.84
2015-02-05,15.959999999999999
2015-02-06,39.9
2015-02-07,17.64
2015-02-08,42.0
2015-02-09,33.6
2015-02-10,33.18
2015-02-11,35.28
2015-02-12,34.019999999999996
2015-02-13,0.0
2015-02-14,13.86
2015-02-15,22.259999999999998
2015-02-16,28.98
2015-02-17,39.48
2015-02-18,7.56
2015-02-19,30.24
2015-02-20,18.48
2015-02-21,24.36
2015-02-22,20.58
2015-02-23,18.48
2015-02-24,32.339999999999996
2015-02-25,33.18
2015-02-26,32.339999999999996
2015-02-27,36.54
2015-02-28,40.74
2015-03-01,16.72
2015-03-02,24.2
2015-03-03,44.0
2015-03-04,22.88
2015-03-05,18.04
2015-03-06,11.0
2015-03-07,0.0
2015-03-08,21.12
2015-03-09,22.44
2015-03-10,18.48
2015-03-11,13.2
2015-03-12,8.8
2015-03-13,12.76
2015-03-14,14.08
2015-03-15,10.56
2015-03-16,19.36
2015-03-17,12.32
2015-03-18,16.28
2015-03-19,20.68
2015-03-20,19.8
2015-03-21,33.0
2015-03-22,17.16
2015-03-23,15.4
2015-03-24,15.84
2015-03-25,11.0
2015-03-26,21.56
2015-03-27,19.36
2015-03-28,0.0
2015-03-29,20.24
2015-03-30,15.84
2015-03-31,13.64
2015-04-01,9.12
2015-04-02,11.04
2015-04-03,6.72
2015-04-04,8.16
2015-04-05,4.32
2015-04-06,22.56
2015-04-07,19.2
2015-04-08,20.16
2015-04-09,48.0
2015-04-10,33.6
2015-04-11,13.92
2015-04-12,15.84
2015-04-13,11.52
2015-04-14,19.2
2015-04-15,22.08
2015-04-16,24.96
2015-04-17,23.04
2015-04-18,24.0
2015-04-19,15.36
2015-04-20,19.2
2015-04-21,13.44
2015-04-22,21.599999999999998
2015-04-23,13.92
2015-04-24,13.44
2015-04-25,14.399999999999999
2015-04-26,8.16
2015-04-27,10.08
2015-04-28,27.36
2015-04-29,14.399999999999999
2015-04-30,15.36
2015-05-01,21.07
2015-05-02,35.769999999999996
2015-05-03,49.0
2015-05-04,17.64
2015-05-05,23.03
2015-05-06,20.09
2015-05-07,15.19
2015-05-08,28.91
2015-05-09,16.66
2015-05-10,19.6
2015-05-11,14.209999999999999
2015-05-12,20.09
2015-05-13,14.7
2015-05-14,11.27
2015-05-15,11.27
2015-05-16,5.39
2015-05-17,8.82
2015-05-18,28.91
2015-05-19,21.07
2015-05-20,25.48
2015-05-21,17.64
2015-05-22,18.13
2015-05-23,9.31
2015-05-24,27.93
2015-05-25,10.78
2015-05-26,19.6
2015-05-27,6.37
2015-05-28,12.74
2015-05-29,23.03
2015-05-30,16.169999999999998
2015-05-31,6.859999999999999
2015-06-01,29.4
2015-06-02,31.5
2015-06-03,31.08
2015-06-04,15.959999999999999
2015-06-05,29.82
2015-06-06,11.76
2015-06-07,8.4
2015-06-08,19.32
2015-06-09,30.24
2015-06-10,14.28
2015-06-11,42.0
