date,IBM
2014-11-22,26.95
2014-11-23,25.41
2014-11-24,60.83
2014-11-25,57.75
2014-11-26,51.59
2014-11-27,24.64
2014-11-28,34.65
2014-11-29,23.1
2014-11-30,23.87
2014-12-01,55.61000000000001
2014-12-02,62.980000000000004
2014-12-03,64.99000000000001
2014-12-04,64.99000000000001
2014-12-05,57.620000000000005
2014-12-06,24.12
2014-12-07,24.790000000000003
2014-12-08,62.31
2014-12-09,65.66000000000001
2014-12-10,66.33
2014-12-11,57.620000000000005
2014-12-12,58.96
2014-12-13,28.810000000000002
2014-12-14,26.130000000000003
2014-12-15,59.63
2014-12-16,65.66000000000001
2014-12-17,60.970000000000006
2014-12-18,67.0
2014-12-19,54.27
2014-12-20,26.8
2014-12-21,23.450000000000003
2014-12-22,49.580000000000005
2014-12-23,49.580000000000005
2014-12-24,38.190000000000005
2014-12-25,18.76
2014-12-26,30.82
2014-12-27,24.12
2014-12-28,19.43
2014-12-29,47.57
2014-12-30,46.900000000000006
2014-12-31,42.21
2015-01-01,19.0
2015-01-02,30.4
2015-01-03,18.05
2015-01-04,21.849999999999998
2015-01-05,46.55
2015-01-06,51.3
2015-01-07,55.099999999999994
2015-01-08,56.05
2015-01-09,49.4
2015-01-10,20.9
2015-01-11,27.549999999999997
2015-01-12,53.199999999999996
2015-01-13,55.099999999999994
2015-01-14,57.949999999999996
2015-01-15,59.849999999999994
2015-01-16,54.15
2015-01-17,21.849999999999998
2015-01-18,22.799999999999997
2015-01-19,55.099999999999994
2015-01-20,70.3
2015-01-21,71.25
2015-01-22,69.35
2015-01-23,64.6
2015-01-24,29.45
2015-01-25,30.4
2015-01-26,94.05
2015-01-27,82.64999999999999
2015-01-28,95.0
2015-01-29,92.14999999999999
2015-01-30,69.35
2015-01-31,30.4
2015-02-01,33.199999999999996
2015-02-02,63.08
2015-02-03,76.36
2015-02-04,83.0
2015-02-05,73.03999999999999
2015-02-06,58.93
2015-02-07,36.519999999999996
2015-02-08,29.88
2015-02-09,67.22999999999999
2015-02-10,63.91
2015-02-11,65.57
2015-02-12,63.91
2015-02-13,59.76
2015-02-14,28.22
2015-02-15,27.389999999999997
2015-02-16,49.8
2015-02-17,64.74
2015-02-18,77.19
2015-02-19,71.38
2015-02-20,65.57
2015-02-21,26.56
2015-02-22,30.709999999999997
2015-02-23,61.419999999999995
2015-02-24,63.08
2015-02-25,68.89
2015-02-26,68.06
2015-02-27,61.419999999999995
2015-02-28,31.54
2015-03-01,30.78
2015-03-02,74.52000000000001
2015-03-03,76.95
2015-03-04,76.95
2015-03-05,66.42
2015-03-06,68.04
2015-03-07,31.590000000000003
2015-03-08,30.78
2015-03-09,68.85000000000001
2015-03-10,71.28
2015-03-11,74.52000000000001
2015-03-12,69.66000000000001
2015-03-13,71.28
2015-03-14,30.78
2015-03-15,29.970000000000002
2015-03-16,74.52000000000001
2015-03-17,80.19000000000001
2015-03-18,76.95
2015-03-19,76.14
2015-03-20,68.85000000000001
2015-03-21,38.88
2015-03-22,25.92
2015-03-23,69.66000000000001
2015-03-24,78.57000000000001
2015-03-25,67.23
2015-03-26,81.0
2015-03-27,70.47
2015-03-28,28.35
2015-03-29,29.160000000000004
2015-03-30,68.85000000000001
2015-03-31,76.14
2015-04-01,65.45
2015-04-02,61.199999999999996
2015-04-03,52.699999999999996
2015-04-04,24.65
2015-04-05,25.5
2015-04-06,59.5
2015-04-07,62.9
2015-04-08,64.6
2015-04-09,57.8
2015-04-10,55.25
2015-04-11,28.05
2015-04-12,28.9
2015-04-13,60.35
2015-04-14,74.8
2015-04-15,66.3
2015-04-16,63.75
2015-04-17,61.199999999999996
2015-04-18,30.599999999999998
2015-04-19,28.05
2015-04-20,79.05
2015-04-21,85.0
2015-04-22,66.3
2015-04-23,72.25
2015-04-24,60.35
2015-04-25,29.75
2015-04-26,27.2
2015-04-27,59.5
2015-04-28,61.199999999999996
2015-04-29,62.05
2015-04-30,62.05
2015-05-01,61.6
2015-05-02,31.57
2015-05-03,27.72
2015-05-04,70.07000000000001
2015-05-05,67.76
2015-05-06,74.69
2015-05-07,69.3
2015-05-08,63.14
2015-05-09,28.490000000000002
2015-05-10,26.95
2015-05-11,66.22
2015-05-12,77.0
2015-05-13,73.92
2015-05-14,67.76
2015-05-15,66.99
2015-05-16,28.490000000000002
2015-05-17,30.03
2015-05-18,61.6
2015-05-19,69.3
2015-05-20,60.83
2015-05-21,70.07000000000001
2015-05-22,55.44
2015-05-23,29.26
2015-05-24,22.330000000000002
2015-05-25,30.03
2015-05-26,65.45
2015-05-27,72.38
2015-05-28,67.76
2015-05-29,62.370000000000005
2015-05-30,26.18
2015-05-31,29.26
2015-06-01,73.04
2015-06-02,78.32000000000001
2015-06-03,77.44
2015-06-04,81.84
2015-06-05,77.44
2015-06-06,36.08
2015-06-07,30.8
2015-06-08,77.44
2015-06-09,88.0
2015-06-10,74.8
2015-06-11,73.92
2015-06-12,73.92
2015-06-13,31.68
2015-06-14,27.28
2015-06-15,80.96
2015-06-16,84.48
2015-06-17,79.2
2015-06-18,83.6
2015-06-19,76.56
2015-06-20,33.44
2015-06-21,30.8
2015-06-22,75.68
2015-06-23,78.32000000000001
2015-06-24,82.72
2015-06-25,84.48
2015-06-26,76.56
2015-06-27,30.8
2015-06-28,34.32
2015-06-29,82.72
2015-06-30,84.48
2015-07-01,52.2
2015-07-02,44.37
2015-07-03,23.49
2015-07-04,17.4
2015-07-05,14.79
2015-07-06,48.72
2015-07-07,51.33
2015-07-08,59.16
2015-07-09,57.42
2015-07-10,53.94
2015-07-11,26.97
2015-07-12,22.62
2015-07-13,51.33
2015-07-14,50.46
2015-07-15,56.55
2015-07-16,57.42
2015-07-17,55.68
2015-07-18,25.23
2015-07-19,26.1
2015-07-20,74.82
2015-07-21,87.0
2015-07-22,70.47
2015-07-23,58.29
2015-07-24,53.94
2015-07-25,24.36
2015-07-26,20.88
2015-07-27,60.9
2015-07-28,54.81
2015-07-29,53.94
2015-07-30,57.42
2015-07-31,52.2
2015-08-01,25.419999999999998
2015-08-02,27.06
2015-08-03,58.22
2015-08-04,66.42
2015-08-05,67.24
2015-08-06,68.88
2015-08-07,65.6
2015-08-08,27.06
2015-08-09,24.599999999999998
2015-08-10,60.68
2015-08-11,64.78
2015-08-12,66.42
2015-08-13,65.6
2015-08-14,50.839999999999996
2015-08-15,26.24
2015-08-16,19.68
2015-08-17,62.31999999999999
2015-08-18,67.24
2015-08-19,65.6
2015-08-20,59.86
2015-08-21,56.58
2015-08-22,26.24
2015-08-23,24.599999999999998
2015-08-24,70.52
2015-08-25,82.0
2015-08-26,73.8
2015-08-27,66.42
2015-08-28,56.58
2015-08-29,22.139999999999997
2015-08-30,24.599999999999998
2015-08-31,56.58
2015-09-01,68.0
2015-09-02,68.0
2015-09-03,67.2
2015-09-04,61.6
2015-09-05,26.400000000000002
2015-09-06,24.0
2015-09-07,36.0
2015-09-08,68.8
2015-09-09,68.8
2015-09-10,75.2
2015-09-11,68.8
2015-09-12,31.200000000000003
2015-09-13,27.200000000000003
2015-09-14,69.60000000000001
2015-09-15,76.0
2015-09-16,80.0
2015-09-17,68.0
2015-09-18,63.2
2015-09-19,28.8
2015-09-20,26.400000000000002
2015-09-21,64.0
2015-09-22,71.2
2015-09-23,67.2
2015-09-24,75.2
2015-09-25,65.60000000000001
2015-09-26,26.400000000000002
2015-09-27,29.6
2015-09-28,65.60000000000001
2015-09-29,70.4
2015-09-30,71.2
2015-10-01,64.8
2015-10-02,53.1
2015-10-03,23.400000000000002
2015-10-04,22.5
2015-10-05,61.2
2015-10-06,81.9
2015-10-07,71.10000000000001
2015-10-08,70.2
2015-10-09,59.4
2015-10-10,29.7
2015-10-11,30.6
2015-10-12,59.4
2015-10-13,66.60000000000001
2015-10-14,62.1
2015-10-15,65.7
2015-10-16,63.0
2015-10-17,28.8
2015-10-18,33.300000000000004
2015-10-19,83.7
2015-10-20,86.4
2015-10-21,77.4
2015-10-22,71.10000000000001
2015-10-23,64.8
2015-10-24,27.0
2015-10-25,31.5
2015-10-26,61.2
2015-10-27,78.3
2015-10-28,90.0
2015-10-29,72.0
2015-10-30,56.7
2015-10-31,27.0
2015-11-01,28.7
2015-11-02,56.0
2015-11-03,67.19999999999999
2015-11-04,65.1
2015-11-05,60.9
2015-11-06,58.8
2015-11-07,25.2
2015-11-08,23.099999999999998
2015-11-09,58.8
2015-11-10,67.19999999999999
2015-11-11,60.9
2015-11-12,62.99999999999999
2015-11-13,60.199999999999996
2015-11-14,25.2
2015-11-15,21.0
2015-11-16,58.8
2015-11-17,70.0
2015-11-18,58.8
2015-11-19,59.49999999999999
2015-11-20,56.0
2015-11-21,24.5
2015-11-22,21.7
2015-11-23,53.199999999999996
2015-11-24,54.599999999999994
2015-11-25,42.699999999999996
2015-11-26,22.4
2015-11-27,25.9
2015-11-28,21.7
2015-11-29,21.7
2015-11-30,45.5
2015-12-01,58.480000000000004
2015-12-02,57.120000000000005
2015-12-03,63.92
2015-12-04,55.080000000000005
2015-12-05,22.44
2015-12-06,26.520000000000003
2015-12-07,57.800000000000004
2015-12-08,68.0
2015-12-09,57.120000000000005
2015-12-10,62.56
2015-12-11,50.32
2015-12-12,25.840000000000003
2015-12-13,23.8
2015-12-14,51.00000000000001
2015-12-15,59.84
2015-12-16,63.24
2015-12-17,57.120000000000005
2015-12-18,46.92
2015-12-19,25.16
2015-12-20,22.44
2015-12-21,47.6
2015-12-22,52.36000000000001
2015-12-23,43.52
2015-12-24,29.92
2015-12-25,19.040000000000003
2015-12-26,19.040000000000003
2015-12-27,18.360000000000003
2015-12-28,36.04
2015-12-29,44.2
2015-12-30,48.28
2015-12-31,33.32
2016-01-01,19.25
2016-01-02,19.25
2016-01-03,18.48
2016-01-04,46.2
2016-01-05,50.050000000000004
2016-01-06,59.29
2016-01-07,60.06
2016-01-08,49.28
2016-01-09,23.1
2016-01-10,26.18
2016-01-11,49.28
2016-01-12,50.050000000000004
2016-01-13,53.13
2016-01-14,50.050000000000004
2016-01-15,51.59
2016-01-16,33.11
2016-01-17,29.26
2016-01-18,41.58
2016-01-19,71.61
2016-01-20,77.0
2016-01-21,63.910000000000004
2016-01-22,53.13
2016-01-23,26.95
2016-01-24,47.74
2016-01-25,57.75
2016-01-26,60.06
2016-01-27,66.99
2016-01-28,63.910000000000004
2016-01-29,62.370000000000005
2016-01-30,29.26
2016-01-31,27.72
2016-02-01,64.80000000000001
2016-02-02,69.66000000000001
2016-02-03,66.42
2016-02-04,67.23
2016-02-05,64.80000000000001
2016-02-06,29.970000000000002
2016-02-07,25.110000000000003
2016-02-08,55.080000000000005
2016-02-09,63.99
2016-02-10,63.99
2016-02-11,62.370000000000005
2016-02-12,54.27
2016-02-13,25.92
2016-02-14,20.25
2016-02-15,42.93
2016-02-16,59.13
2016-02-17,66.42
2016-02-18,81.0
2016-02-19,68.04
2016-02-20,30.78
2016-02-21,29.160000000000004
2016-02-22,68.04
2016-02-23,68.85000000000001
2016-02-24,64.80000000000001
2016-02-25,64.80000000000001
2016-02-26,55.89
2016-02-27,32.400000000000006
2016-02-28,29.160000000000004
2016-02-29,68.85000000000001
2016-03-01,70.4
2016-03-02,73.60000000000001
2016-03-03,80.0
2016-03-04,68.0
2016-03-05,32.800000000000004
2016-03-06,27.200000000000003
2016-03-07,62.400000000000006
2016-03-08,67.2
2016-03-09,66.4
2016-03-10,69.60000000000001
2016-03-11,57.6
2016-03-12,28.0
2016-03-13,27.200000000000003
2016-03-14,60.0
2016-03-15,65.60000000000001
2016-03-16,63.2
2016-03-17,58.400000000000006
2016-03-18,56.0
2016-03-19,25.6
2016-03-20,21.6
2016-03-21,56.800000000000004
2016-03-22,67.2
