date,Walmart Stock Price
2016-03-07,10.95
2016-03-08,10.8
2016-03-09,10.05
2016-03-10,13.2
2016-03-11,7.949999999999999
2016-03-12,1.7999999999999998
2016-03-13,1.65
2016-03-14,6.6
2016-03-15,12.0
2016-03-16,11.1
2016-03-17,8.25
2016-03-18,9.6
2016-03-19,6.45
2016-03-20,6.45
2016-03-21,7.35
2016-03-22,6.0
2016-03-23,7.05
2016-03-24,12.9
2016-03-25,9.0
2016-03-26,4.8
2016-03-27,2.85
2016-03-28,10.2
2016-03-29,11.1
2016-03-30,9.6
2016-03-31,12.6
2016-04-01,6.88
2016-04-02,5.12
2016-04-03,2.72
2016-04-04,2.24
2016-04-05,7.04
2016-04-06,12.0
2016-04-07,9.6
2016-04-08,8.48
2016-04-09,4.32
2016-04-10,4.16
2016-04-11,8.48
2016-04-12,13.12
2016-04-13,12.32
2016-04-14,16.0
2016-04-15,7.52
2016-04-16,2.72
2016-04-17,3.52
2016-04-18,7.68
2016-04-19,10.56
2016-04-20,12.16
2016-04-21,10.72
2016-04-22,9.6
2016-04-23,4.48
2016-04-24,0.0
2016-04-25,9.28
2016-04-26,11.04
2016-04-27,10.72
2016-04-28,10.24
2016-04-29,11.04
2016-04-30,4.48
2016-05-01,4.48
2016-05-02,6.4
