date,Merck Stock Price
2015-08-09,0.0
2015-08-10,2.8000000000000003
2015-08-11,5.180000000000001
2015-08-12,10.500000000000002
2015-08-13,0.0
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,7.000000000000001
2015-08-17,0.0
2015-08-18,4.62
2015-08-19,5.180000000000001
2015-08-20,13.86
2015-08-21,3.92
2015-08-22,0.0
2015-08-23,3.5000000000000004
2015-08-24,12.04
2015-08-25,9.1
2015-08-26,3.92
2015-08-27,3.640000000000001
2015-08-28,8.82
2015-08-29,0.0
2015-08-30,4.0600000000000005
2015-08-31,3.92
2015-09-01,4.68
2015-09-02,4.94
2015-09-03,4.03
2015-09-04,12.74
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,5.2
2015-09-09,4.16
2015-09-10,0.0
2015-09-11,4.16
2015-09-12,10.01
2015-09-13,0.0
2015-09-14,0.0
2015-09-15,13.0
2015-09-16,4.42
2015-09-17,0.0
2015-09-18,3.51
2015-09-19,0.0
2015-09-20,4.8100000000000005
2015-09-21,4.42
2015-09-22,0.0
2015-09-23,5.59
2015-09-24,4.29
2015-09-25,0.0
2015-09-26,8.32
2015-09-27,4.8100000000000005
2015-09-28,6.890000000000001
2015-09-29,9.75
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,3.640000000000001
2015-10-06,7.420000000000001
2015-10-07,3.22
2015-10-08,4.760000000000001
2015-10-09,5.880000000000001
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,3.92
2015-10-13,11.760000000000002
2015-10-14,0.0
2015-10-15,14.000000000000002
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,3.3600000000000003
2015-10-20,0.0
2015-10-21,4.48
2015-10-22,2.5200000000000005
2015-10-23,4.9
2015-10-24,0.0
2015-10-25,7.700000000000001
2015-10-26,0.0
2015-10-27,8.96
2015-10-28,4.9
2015-10-29,5.32
2015-10-30,5.880000000000001
2015-10-31,3.78
2015-11-01,0.0
2015-11-02,3.4000000000000004
2015-11-03,2.6
2015-11-04,4.2
2015-11-05,0.0
2015-11-06,6.5
2015-11-07,8.3
2015-11-08,0.0
2015-11-09,0.0
2015-11-10,3.1
2015-11-11,7.5
2015-11-12,6.1000000000000005
2015-11-13,7.800000000000001
2015-11-14,10.0
2015-11-15,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,0.0
2015-11-19,2.6
