date,Verizon Stock Price
2015-06-03,5.0600000000000005
2015-06-04,15.41
2015-06-05,13.11
2015-06-06,7.82
2015-06-07,4.83
2015-06-08,10.58
2015-06-09,0.0
2015-06-10,7.36
2015-06-11,6.67
2015-06-12,0.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,5.75
2015-06-16,6.21
2015-06-17,4.140000000000001
2015-06-18,7.82
2015-06-19,17.71
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,4.37
2015-06-23,11.96
2015-06-24,0.0
2015-06-25,5.29
2015-06-26,7.36
2015-06-27,11.27
2015-06-28,0.0
2015-06-29,19.55
2015-06-30,23.0
2015-07-01,7.0
2015-07-02,10.0
2015-07-03,11.75
2015-07-04,6.0
2015-07-05,0.0
2015-07-06,0.0
2015-07-07,11.25
2015-07-08,7.5
2015-07-09,7.25
2015-07-10,11.75
2015-07-11,18.5
2015-07-12,21.5
2015-07-13,10.0
2015-07-14,0.0
2015-07-15,8.75
2015-07-16,13.75
2015-07-17,5.75
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,11.0
2015-07-21,22.25
2015-07-22,6.75
2015-07-23,15.75
2015-07-24,0.0
2015-07-25,10.25
2015-07-26,0.0
2015-07-27,0.0
2015-07-28,14.75
2015-07-29,15.0
2015-07-30,25.0
2015-07-31,9.5
2015-08-01,7.04
2015-08-02,6.72
2015-08-03,2.88
2015-08-04,11.2
2015-08-05,6.08
2015-08-06,7.68
2015-08-07,4.48
2015-08-08,7.68
2015-08-09,0.0
2015-08-10,11.2
2015-08-11,10.56
2015-08-12,4.48
2015-08-13,12.48
2015-08-14,8.0
2015-08-15,4.16
2015-08-16,0.0
2015-08-17,7.36
2015-08-18,8.96
2015-08-19,5.76
2015-08-20,0.0
2015-08-21,16.64
2015-08-22,19.84
2015-08-23,0.0
2015-08-24,27.2
2015-08-25,32.0
2015-08-26,19.52
2015-08-27,13.76
2015-08-28,10.56
2015-08-29,17.92
2015-08-30,7.36
2015-08-31,9.6
2015-09-01,13.44
2015-09-02,10.08
2015-09-03,13.2
2015-09-04,10.8
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,12.0
2015-09-08,12.96
2015-09-09,24.0
2015-09-10,15.6
2015-09-11,16.56
