date,stock_name,name_price_attention
2015-11-25,MSFT,2.16
2015-11-26,MSFT,0.0
2015-11-27,MSFT,2.96
2015-11-28,MSFT,0.0
2015-11-29,MSFT,0.0
2015-11-30,MSFT,1.68
2015-12-01,MSFT,5.5200000000000005
2015-12-02,MSFT,4.08
2015-12-03,MSFT,7.84
2015-12-04,MSFT,1.76
2015-12-05,MSFT,2.16
2015-12-06,MSFT,0.0
2015-12-07,MSFT,1.36
2015-12-08,MSFT,7.28
2015-12-09,MSFT,1.92
2015-12-10,MSFT,5.36
2015-12-11,MSFT,4.96
2015-12-12,MSFT,4.4
2015-12-13,MSFT,0.0
2015-12-14,MSFT,3.52
2015-12-15,MSFT,2.72
2015-12-16,MSFT,7.12
2015-12-17,MSFT,4.08
2015-12-18,MSFT,4.0
2015-12-19,MSFT,0.0
2015-12-20,MSFT,0.0
2015-12-21,MSFT,6.32
2015-12-22,MSFT,3.36
2015-12-23,MSFT,0.0
2015-12-24,MSFT,7.36
2015-12-25,MSFT,2.56
2015-12-26,MSFT,1.76
2015-12-27,MSFT,3.52
2015-12-28,MSFT,3.36
2015-12-29,MSFT,8.0
2015-12-30,MSFT,5.12
2015-12-31,MSFT,3.12
2016-01-01,MSFT,0.0
2016-01-02,MSFT,1.98
2016-01-03,MSFT,1.71
2016-01-04,MSFT,2.88
2016-01-05,MSFT,8.549999999999999
2016-01-06,MSFT,5.22
2016-01-07,MSFT,8.64
2016-01-08,MSFT,7.199999999999999
2016-01-09,MSFT,3.15
2016-01-10,MSFT,1.98
2016-01-11,MSFT,3.51
2016-01-12,MSFT,9.0
2016-01-13,MSFT,5.22
2016-01-14,MSFT,4.41
2016-01-15,MSFT,7.92
2016-01-16,MSFT,5.58
2016-01-17,MSFT,0.0
2016-01-18,MSFT,2.07
2016-01-19,MSFT,4.77
2016-01-20,MSFT,5.94
2016-01-21,MSFT,5.22
2016-01-22,MSFT,3.69
2016-01-23,MSFT,0.0
2016-01-24,MSFT,0.0
2016-01-25,MSFT,6.39
2016-01-26,MSFT,6.93
2016-01-27,MSFT,5.49
2016-01-28,MSFT,8.19
2016-01-29,MSFT,7.199999999999999
2016-01-30,MSFT,0.0
2016-01-31,MSFT,1.17
2016-02-01,MSFT,2.97
2016-02-02,MSFT,4.23
2016-02-03,MSFT,5.58
2016-02-04,MSFT,3.87
2016-02-05,MSFT,5.31
2016-02-06,MSFT,1.89
2016-02-07,MSFT,0.0
2016-02-08,MSFT,3.06
2016-02-09,MSFT,5.49
2016-02-10,MSFT,5.31
2016-02-11,MSFT,4.5
2016-02-12,MSFT,3.42
2016-02-13,MSFT,3.96
2016-02-14,MSFT,0.0
2016-02-15,MSFT,0.8999999999999999
2016-02-16,MSFT,7.02
2016-02-17,MSFT,4.5
2016-02-18,MSFT,4.77
2016-02-19,MSFT,4.41
2016-02-20,MSFT,0.0
2016-02-21,MSFT,0.0
2016-02-22,MSFT,4.5
2016-02-23,MSFT,4.14
2016-02-24,MSFT,9.0
2016-02-25,MSFT,5.4
2016-02-26,MSFT,0.0
2016-02-27,MSFT,3.15
2016-02-28,MSFT,1.08
2016-02-29,MSFT,3.69
2016-03-01,MSFT,6.0
2016-03-02,MSFT,6.88
2016-03-03,MSFT,8.0
2016-03-04,MSFT,3.92
2016-03-05,MSFT,0.0
2016-03-06,MSFT,0.0
2016-03-07,MSFT,4.88
2016-03-08,MSFT,4.48
2016-03-09,MSFT,5.84
2016-03-10,MSFT,3.52
2016-03-11,MSFT,5.84
2016-03-12,MSFT,1.44
2016-03-13,MSFT,5.76
2016-03-14,MSFT,1.36
2016-03-15,MSFT,7.36
2016-03-16,MSFT,3.36
2016-03-17,MSFT,4.08
2016-03-18,MSFT,3.76
2016-03-19,MSFT,2.64
2016-03-20,MSFT,2.56
2016-03-21,MSFT,1.04
2016-03-22,MSFT,3.12
2016-03-23,MSFT,3.76
2016-03-24,MSFT,1.92
2016-03-25,MSFT,2.56
2016-03-26,MSFT,4.64
2016-03-27,MSFT,2.8000000000000003
2016-03-28,MSFT,3.76
2016-03-29,MSFT,2.4
2016-03-30,MSFT,2.4
2016-03-31,MSFT,4.88
2016-04-01,MSFT,3.69
2016-04-02,MSFT,1.26
2016-04-03,MSFT,3.33
2016-04-04,MSFT,4.41
2016-04-05,MSFT,5.76
2016-04-06,MSFT,3.42
2016-04-07,MSFT,3.78
2016-04-08,MSFT,3.24
