date,stock_name,attention_ticker
2020-05-13,Boeing Stock Price,46.98
2020-05-14,Boeing Stock Price,45.82
2020-05-15,Boeing Stock Price,46.98
2020-05-16,Boeing Stock Price,17.4
2020-05-17,Boeing Stock Price,10.44
2020-05-18,Boeing Stock Price,54.52
2020-05-19,Boeing Stock Price,53.94
2020-05-20,Boeing Stock Price,45.24
2020-05-21,Boeing Stock Price,47.56
2020-05-22,Boeing Stock Price,45.82
2020-05-23,Boeing Stock Price,15.079999999999998
2020-05-24,Boeing Stock Price,9.86
2020-05-25,Boeing Stock Price,8.12
2020-05-26,Boeing Stock Price,48.13999999999999
2020-05-27,Boeing Stock Price,55.67999999999999
2020-05-28,Boeing Stock Price,57.99999999999999
2020-05-29,Boeing Stock Price,42.92
2020-05-30,Boeing Stock Price,16.24
2020-05-31,Boeing Stock Price,9.28
2020-06-01,Boeing Stock Price,33.3
2020-06-02,Boeing Stock Price,37.0
2020-06-03,Boeing Stock Price,51.06
2020-06-04,Boeing Stock Price,57.72
2020-06-05,Boeing Stock Price,64.38
2020-06-06,Boeing Stock Price,19.98
2020-06-07,Boeing Stock Price,11.84
2020-06-08,Boeing Stock Price,70.3
2020-06-09,Boeing Stock Price,74.0
2020-06-10,Boeing Stock Price,68.82
2020-06-11,Boeing Stock Price,66.6
2020-06-12,Boeing Stock Price,65.86
2020-06-13,Boeing Stock Price,14.8
2020-06-14,Boeing Stock Price,9.62
2020-06-15,Boeing Stock Price,45.88
2020-06-16,Boeing Stock Price,58.46
2020-06-17,Boeing Stock Price,48.1
2020-06-18,Boeing Stock Price,37.74
2020-06-19,Boeing Stock Price,37.0
2020-06-20,Boeing Stock Price,11.84
2020-06-21,Boeing Stock Price,10.36
2020-06-22,Boeing Stock Price,38.48
2020-06-23,Boeing Stock Price,39.96
2020-06-24,Boeing Stock Price,33.3
2020-06-25,Boeing Stock Price,37.0
2020-06-26,Boeing Stock Price,38.48
2020-06-27,Boeing Stock Price,11.84
2020-06-28,Boeing Stock Price,7.4
2020-06-29,Boeing Stock Price,51.06
2020-06-30,Boeing Stock Price,61.42
2020-07-01,Boeing Stock Price,44.0
2020-07-02,Boeing Stock Price,38.72
2020-07-03,Boeing Stock Price,17.16
2020-07-04,Boeing Stock Price,7.48
2020-07-05,Boeing Stock Price,6.6
2020-07-06,Boeing Stock Price,30.36
2020-07-07,Boeing Stock Price,34.76
2020-07-08,Boeing Stock Price,32.56
2020-07-09,Boeing Stock Price,34.32
2020-07-10,Boeing Stock Price,33.44
2020-07-11,Boeing Stock Price,9.68
2020-07-12,Boeing Stock Price,5.28
2020-07-13,Boeing Stock Price,24.2
2020-07-14,Boeing Stock Price,31.24
2020-07-15,Boeing Stock Price,33.0
2020-07-16,Boeing Stock Price,28.16
2020-07-17,Boeing Stock Price,35.64
2020-07-18,Boeing Stock Price,6.6
2020-07-19,Boeing Stock Price,6.16
2020-07-20,Boeing Stock Price,25.08
2020-07-21,Boeing Stock Price,29.04
2020-07-22,Boeing Stock Price,26.4
2020-07-23,Boeing Stock Price,22.88
2020-07-24,Boeing Stock Price,22.44
2020-07-25,Boeing Stock Price,4.4
2020-07-26,Boeing Stock Price,3.52
2020-07-27,Boeing Stock Price,21.56
2020-07-28,Boeing Stock Price,23.32
2020-07-29,Boeing Stock Price,22.44
2020-07-30,Boeing Stock Price,23.76
2020-07-31,Boeing Stock Price,25.52
2020-08-01,Boeing Stock Price,8.91
2020-08-02,Boeing Stock Price,4.29
2020-08-03,Boeing Stock Price,24.75
2020-08-04,Boeing Stock Price,25.41
2020-08-05,Boeing Stock Price,26.07
2020-08-06,Boeing Stock Price,27.39
2020-08-07,Boeing Stock Price,26.73
2020-08-08,Boeing Stock Price,8.91
2020-08-09,Boeing Stock Price,5.94
2020-08-10,Boeing Stock Price,30.69
2020-08-11,Boeing Stock Price,33.0
2020-08-12,Boeing Stock Price,30.03
2020-08-13,Boeing Stock Price,24.42
2020-08-14,Boeing Stock Price,21.45
2020-08-15,Boeing Stock Price,2.97
2020-08-16,Boeing Stock Price,4.29
2020-08-17,Boeing Stock Price,20.790000000000003
2020-08-18,Boeing Stock Price,25.41
2020-08-19,Boeing Stock Price,27.72
2020-08-20,Boeing Stock Price,24.42
2020-08-21,Boeing Stock Price,21.12
2020-08-22,Boeing Stock Price,5.94
2020-08-23,Boeing Stock Price,4.29
2020-08-24,Boeing Stock Price,24.75
2020-08-25,Boeing Stock Price,21.45
2020-08-26,Boeing Stock Price,22.77
2020-08-27,Boeing Stock Price,22.11
2020-08-28,Boeing Stock Price,20.130000000000003
2020-08-29,Boeing Stock Price,7.92
2020-08-30,Boeing Stock Price,4.95
2020-08-31,Boeing Stock Price,17.490000000000002
2020-09-01,Boeing Stock Price,23.49
2020-09-02,Boeing Stock Price,24.840000000000003
2020-09-03,Boeing Stock Price,25.110000000000003
2020-09-04,Boeing Stock Price,21.06
2020-09-05,Boeing Stock Price,5.130000000000001
2020-09-06,Boeing Stock Price,4.32
2020-09-07,Boeing Stock Price,2.43
2020-09-08,Boeing Stock Price,20.25
2020-09-09,Boeing Stock Price,27.0
2020-09-10,Boeing Stock Price,23.22
2020-09-11,Boeing Stock Price,23.49
2020-09-12,Boeing Stock Price,5.130000000000001
2020-09-13,Boeing Stock Price,4.050000000000001
2020-09-14,Boeing Stock Price,21.87
2020-09-15,Boeing Stock Price,18.36
2020-09-16,Boeing Stock Price,26.46
2020-09-17,Boeing Stock Price,22.68
2020-09-18,Boeing Stock Price,17.82
2020-09-19,Boeing Stock Price,6.75
2020-09-20,Boeing Stock Price,4.050000000000001
2020-09-21,Boeing Stock Price,24.03
2020-09-22,Boeing Stock Price,24.840000000000003
2020-09-23,Boeing Stock Price,23.49
2020-09-24,Boeing Stock Price,18.36
2020-09-25,Boeing Stock Price,20.790000000000003
2020-09-26,Boeing Stock Price,7.290000000000001
2020-09-27,Boeing Stock Price,2.43
2020-09-28,Boeing Stock Price,19.98
2020-09-29,Boeing Stock Price,25.110000000000003
2020-09-30,Boeing Stock Price,23.22
2020-10-01,Boeing Stock Price,22.5
2020-10-02,Boeing Stock Price,22.0
2020-10-03,Boeing Stock Price,7.5
2020-10-04,Boeing Stock Price,3.25
2020-10-05,Boeing Stock Price,19.5
2020-10-06,Boeing Stock Price,24.0
2020-10-07,Boeing Stock Price,25.0
2020-10-08,Boeing Stock Price,22.75
2020-10-09,Boeing Stock Price,20.75
2020-10-10,Boeing Stock Price,7.75
2020-10-11,Boeing Stock Price,2.25
2020-10-12,Boeing Stock Price,18.5
2020-10-13,Boeing Stock Price,15.5
2020-10-14,Boeing Stock Price,15.5
2020-10-15,Boeing Stock Price,18.75
2020-10-16,Boeing Stock Price,19.75
2020-10-17,Boeing Stock Price,8.75
2020-10-18,Boeing Stock Price,4.0
2020-10-19,Boeing Stock Price,23.0
2020-10-20,Boeing Stock Price,23.25
2020-10-21,Boeing Stock Price,19.25
2020-10-22,Boeing Stock Price,16.0
2020-10-23,Boeing Stock Price,15.75
2020-10-24,Boeing Stock Price,4.5
2020-10-25,Boeing Stock Price,2.25
2020-10-26,Boeing Stock Price,20.5
2020-10-27,Boeing Stock Price,16.5
2020-10-28,Boeing Stock Price,23.25
2020-10-29,Boeing Stock Price,20.0
2020-10-30,Boeing Stock Price,16.75
2020-10-31,Boeing Stock Price,3.5
2020-11-01,Boeing Stock Price,3.06
2020-11-02,Boeing Stock Price,10.88
2020-11-03,Boeing Stock Price,15.3
2020-11-04,Boeing Stock Price,8.16
2020-11-05,Boeing Stock Price,9.52
2020-11-06,Boeing Stock Price,10.2
2020-11-07,Boeing Stock Price,2.04
2020-11-08,Boeing Stock Price,1.36
2020-11-09,Boeing Stock Price,21.42
2020-11-10,Boeing Stock Price,19.72
2020-11-11,Boeing Stock Price,19.040000000000003
2020-11-12,Boeing Stock Price,13.6
2020-11-13,Boeing Stock Price,19.040000000000003
2020-11-14,Boeing Stock Price,6.800000000000001
2020-11-15,Boeing Stock Price,1.7000000000000002
