date,Chevron Stock Price
2015-02-24,9.62
2015-02-25,14.82
2015-02-26,5.46
2015-02-27,9.88
2015-02-28,26.0
2015-03-01,0.0
2015-03-02,16.560000000000002
2015-03-03,20.47
2015-03-04,13.11
2015-03-05,11.04
2015-03-06,11.5
2015-03-07,0.0
2015-03-08,6.67
2015-03-09,0.0
2015-03-10,6.21
2015-03-11,9.89
2015-03-12,4.140000000000001
2015-03-13,11.27
2015-03-14,0.0
2015-03-15,5.75
2015-03-16,14.49
2015-03-17,0.0
2015-03-18,10.58
2015-03-19,11.5
2015-03-20,17.25
2015-03-21,6.67
2015-03-22,0.0
2015-03-23,10.12
2015-03-24,23.0
2015-03-25,14.26
2015-03-26,8.280000000000001
2015-03-27,11.73
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,13.11
2015-03-31,14.03
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,9.03
2015-04-04,0.0
2015-04-05,11.55
2015-04-06,0.0
2015-04-07,11.97
2015-04-08,21.0
2015-04-09,12.81
2015-04-10,12.81
2015-04-11,4.41
2015-04-12,7.35
2015-04-13,0.0
2015-04-14,13.86
2015-04-15,6.72
2015-04-16,10.92
2015-04-17,0.0
2015-04-18,9.66
2015-04-19,0.0
2015-04-20,13.44
2015-04-21,13.65
2015-04-22,19.53
2015-04-23,9.87
2015-04-24,9.66
2015-04-25,11.55
2015-04-26,0.0
2015-04-27,11.97
2015-04-28,12.6
2015-04-29,16.169999999999998
2015-04-30,4.41
2015-05-01,10.8
2015-05-02,5.04
2015-05-03,3.96
2015-05-04,8.82
2015-05-05,18.0
2015-05-06,4.32
2015-05-07,8.1
2015-05-08,16.56
2015-05-09,11.16
2015-05-10,0.0
2015-05-11,0.0
2015-05-12,7.02
2015-05-13,10.62
2015-05-14,9.54
2015-05-15,0.0
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,11.7
2015-05-19,6.12
2015-05-20,0.0
2015-05-21,12.78
2015-05-22,7.199999999999999
2015-05-23,10.26
2015-05-24,4.68
2015-05-25,0.0
2015-05-26,4.859999999999999
2015-05-27,10.98
2015-05-28,0.0
2015-05-29,4.859999999999999
2015-05-30,0.0
2015-05-31,5.58
2015-06-01,8.200000000000001
2015-06-02,8.0
2015-06-03,8.0
2015-06-04,5.6000000000000005
2015-06-05,4.800000000000001
2015-06-06,3.2
2015-06-07,4.6000000000000005
2015-06-08,14.2
2015-06-09,4.2
2015-06-10,8.8
2015-06-11,4.800000000000001
2015-06-12,8.200000000000001
2015-06-13,4.6000000000000005
2015-06-14,0.0
2015-06-15,3.6
2015-06-16,0.0
2015-06-17,12.6
2015-06-18,4.2
2015-06-19,8.8
2015-06-20,14.2
2015-06-21,0.0
2015-06-22,3.2
2015-06-23,9.8
2015-06-24,3.6
2015-06-25,7.0
2015-06-26,5.0
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,6.4
2015-06-30,20.0
2015-07-01,23.0
2015-07-02,7.36
2015-07-03,14.49
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,0.0
2015-07-07,11.04
2015-07-08,5.75
2015-07-09,8.74
2015-07-10,13.34
2015-07-11,0.0
2015-07-12,0.0
2015-07-13,6.21
2015-07-14,8.51
2015-07-15,3.68
2015-07-16,7.590000000000001
2015-07-17,16.79
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,7.36
2015-07-21,7.13
2015-07-22,4.6000000000000005
2015-07-23,9.89
2015-07-24,14.95
2015-07-25,8.97
2015-07-26,0.0
2015-07-27,13.57
2015-07-28,16.1
2015-07-29,8.97
2015-07-30,12.65
2015-07-31,11.04
2015-08-01,14.43
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,17.16
2015-08-05,7.41
2015-08-06,6.63
2015-08-07,0.0
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,7.41
2015-08-11,6.24
2015-08-12,6.24
2015-08-13,9.75
2015-08-14,18.33
2015-08-15,8.97
2015-08-16,3.9
2015-08-17,5.8500000000000005
2015-08-18,7.800000000000001
2015-08-19,9.75
