date,PG
2015-12-17,56.95
2015-12-18,57.620000000000005
2015-12-19,59.63
2015-12-20,45.56
2015-12-21,50.92
2015-12-22,56.95
2015-12-23,54.27
2015-12-24,48.91
2015-12-25,50.25
2015-12-26,52.93
2015-12-27,42.88
2015-12-28,51.59
2015-12-29,53.6
2015-12-30,54.940000000000005
2015-12-31,51.59
2016-01-01,46.74
2016-01-02,48.38
2016-01-03,49.2
2016-01-04,53.3
2016-01-05,54.94
2016-01-06,60.68
2016-01-07,59.04
2016-01-08,54.94
2016-01-09,48.38
2016-01-10,44.28
2016-01-11,53.3
2016-01-12,59.04
2016-01-13,59.86
2016-01-14,55.76
2016-01-15,62.31999999999999
2016-01-16,50.84
2016-01-17,49.2
2016-01-18,58.22
2016-01-19,68.06
2016-01-20,63.13999999999999
2016-01-21,82.0
2016-01-22,60.68
2016-01-23,50.84
2016-01-24,60.68
2016-01-25,67.24
2016-01-26,76.25999999999999
2016-01-27,81.17999999999999
2016-01-28,69.7
2016-01-29,64.78
2016-01-30,54.12
2016-01-31,47.56
2016-02-01,72.16
2016-02-02,65.6
2016-02-03,68.88
2016-02-04,71.33999999999999
2016-02-05,70.52
2016-02-06,55.76
2016-02-07,48.38
2016-02-08,62.31999999999999
2016-02-09,77.08
2016-02-10,65.6
2016-02-11,65.6
2016-02-12,67.24
2016-02-13,59.86
2016-02-14,53.3
2016-02-15,63.96
2016-02-16,82.0
2016-02-17,70.52
2016-02-18,69.7
2016-02-19,70.52
2016-02-20,61.49999999999999
2016-02-21,58.22
2016-02-22,65.6
2016-02-23,70.52
2016-02-24,65.6
2016-02-25,66.42
2016-02-26,63.96
2016-02-27,56.58
2016-02-28,55.76
2016-02-29,65.6
2016-03-01,49.4
2016-03-02,50.92
2016-03-03,45.6
2016-03-04,51.68
2016-03-05,41.04
2016-03-06,34.2
2016-03-07,47.88
2016-03-08,45.6
2016-03-09,45.6
2016-03-10,45.6
2016-03-11,47.12
2016-03-12,35.72
2016-03-13,50.16
2016-03-14,76.0
2016-03-15,50.92
2016-03-16,46.36
2016-03-17,47.88
2016-03-18,44.84
2016-03-19,34.2
2016-03-20,37.24
2016-03-21,41.8
2016-03-22,44.84
2016-03-23,45.6
2016-03-24,39.52
2016-03-25,39.52
2016-03-26,32.68
2016-03-27,38.76
2016-03-28,45.6
2016-03-29,44.08
2016-03-30,47.12
2016-03-31,43.32
2016-04-01,65.36
2016-04-02,60.8
2016-04-03,61.56
2016-04-04,72.2
2016-04-05,76.0
2016-04-06,67.64
2016-04-07,70.68
2016-04-08,65.36
2016-04-09,57.76
2016-04-10,57.76
2016-04-11,67.64
2016-04-12,68.4
2016-04-13,69.16
2016-04-14,68.4
2016-04-15,75.24
2016-04-16,73.72
2016-04-17,63.08
2016-04-18,66.88
2016-04-19,75.24
2016-04-20,71.44
2016-04-21,62.32
2016-04-22,66.88
2016-04-23,55.48
2016-04-24,50.16
2016-04-25,69.16
2016-04-26,71.44
2016-04-27,69.16
2016-04-28,72.2
2016-04-29,66.12
2016-04-30,52.44
2016-05-01,51.8
2016-05-02,72.52
2016-05-03,68.82
2016-05-04,62.16
2016-05-05,66.6
2016-05-06,74.0
2016-05-07,48.1
2016-05-08,51.06
2016-05-09,65.86
2016-05-10,73.26
2016-05-11,68.82
