date,AXP
2015-05-09,5.2700000000000005
2015-05-10,0.0
2015-05-11,5.2700000000000005
2015-05-12,0.0
2015-05-13,5.1000000000000005
2015-05-14,3.91
2015-05-15,0.0
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,0.0
2015-05-19,9.01
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.0
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,0.0
2015-06-02,32.0
2015-06-03,22.4
2015-06-04,20.16
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,0.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,0.0
2015-06-19,0.0
2015-06-20,10.56
2015-06-21,0.0
2015-06-22,0.0
2015-06-23,24.64
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,0.0
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,0.0
2015-06-30,25.6
2015-07-01,0.0
2015-07-02,0.0
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,9.36
2015-07-06,0.0
2015-07-07,13.68
2015-07-08,0.0
2015-07-09,0.0
2015-07-10,0.0
2015-07-11,0.0
2015-07-12,0.0
2015-07-13,7.92
2015-07-14,16.2
2015-07-15,0.0
2015-07-16,18.0
2015-07-17,0.0
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,5.94
2015-07-21,7.739999999999999
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,5.76
2015-07-25,0.0
2015-07-26,0.0
2015-07-27,0.0
2015-07-28,0.0
2015-07-29,12.6
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,11.52
2015-08-13,9.36
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,9.12
2015-08-18,7.439999999999999
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,9.84
