date,BA
2015-04-19,1.05
2015-04-20,0.0
2015-04-21,2.19
2015-04-22,2.46
2015-04-23,1.05
2015-04-24,3.0
2015-04-25,1.95
2015-04-26,1.59
2015-04-27,0.93
2015-04-28,1.59
2015-04-29,1.17
2015-04-30,0.0
2015-05-01,1.71
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,2.37
2015-05-05,0.0
2015-05-06,2.31
2015-05-07,0.0
2015-05-08,2.25
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,0.99
2015-05-12,0.0
2015-05-13,0.99
2015-05-14,0.0
2015-05-15,2.1
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,2.19
2015-05-19,1.47
2015-05-20,2.31
2015-05-21,1.44
2015-05-22,0.0
2015-05-23,3.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,1.86
2015-05-28,0.93
2015-05-29,0.0
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,3.64
2015-06-02,2.2
2015-06-03,1.72
2015-06-04,0.0
2015-06-05,2.52
2015-06-06,1.68
2015-06-07,0.0
2015-06-08,1.28
2015-06-09,0.0
2015-06-10,2.8000000000000003
2015-06-11,2.44
2015-06-12,4.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,1.76
2015-06-16,1.2
2015-06-17,1.08
2015-06-18,0.0
2015-06-19,1.44
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,3.88
2015-06-23,3.04
2015-06-24,3.64
2015-06-25,1.96
2015-06-26,3.96
2015-06-27,0.0
2015-06-28,0.0
2015-06-29,0.0
2015-06-30,3.08
2015-07-01,1.84
2015-07-02,1.6
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,0.88
2015-07-06,0.0
2015-07-07,3.16
2015-07-08,1.16
2015-07-09,1.6
2015-07-10,2.04
2015-07-11,0.72
2015-07-12,2.0
2015-07-13,2.0
2015-07-14,1.72
2015-07-15,0.96
2015-07-16,1.36
2015-07-17,1.12
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,1.96
2015-07-21,0.8
2015-07-22,1.56
2015-07-23,0.6
2015-07-24,0.0
2015-07-25,2.2
2015-07-26,0.0
2015-07-27,2.92
2015-07-28,4.0
2015-07-29,0.0
2015-07-30,1.64
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,2.7
2015-08-03,0.9
2015-08-04,0.0
2015-08-05,2.25
2015-08-06,0.0
2015-08-07,0.9
2015-08-08,1.5
2015-08-09,1.3
2015-08-10,1.2000000000000002
2015-08-11,0.65
2015-08-12,0.55
2015-08-13,0.0
2015-08-14,1.55
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.8500000000000001
2015-08-18,1.35
2015-08-19,0.0
2015-08-20,2.3000000000000003
2015-08-21,2.5500000000000003
2015-08-22,0.0
2015-08-23,1.35
2015-08-24,5.0
2015-08-25,2.75
2015-08-26,3.1500000000000004
2015-08-27,1.65
2015-08-28,2.7
2015-08-29,1.3
2015-08-30,1.2000000000000002
2015-08-31,1.2000000000000002
2015-09-01,1.83
2015-09-02,0.75
2015-09-03,0.0
2015-09-04,1.65
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,1.71
2015-09-08,1.08
2015-09-09,0.0
2015-09-10,2.82
2015-09-11,0.0
2015-09-12,1.2
2015-09-13,2.67
2015-09-14,2.52
2015-09-15,2.37
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,2.28
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,1.68
2015-09-22,1.53
2015-09-23,3.0
2015-09-24,1.17
2015-09-25,2.58
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,1.17
2015-09-29,2.55
2015-09-30,1.65
2015-10-01,2.84
2015-10-02,1.96
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,0.0
2015-10-06,1.68
2015-10-07,1.0
2015-10-08,0.88
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,1.44
2015-10-14,0.88
2015-10-15,2.16
2015-10-16,1.28
2015-10-17,0.0
2015-10-18,1.04
2015-10-19,2.44
2015-10-20,1.72
2015-10-21,0.0
2015-10-22,2.08
2015-10-23,2.68
2015-10-24,2.8000000000000003
2015-10-25,0.88
2015-10-26,3.48
2015-10-27,4.0
2015-10-28,1.2
2015-10-29,2.32
2015-10-30,0.92
2015-10-31,0.0
2015-11-01,1.95
2015-11-02,2.13
2015-11-03,1.2
2015-11-04,1.53
2015-11-05,0.0
2015-11-06,1.3199999999999998
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,0.63
2015-11-10,0.0
2015-11-11,1.26
2015-11-12,0.75
2015-11-13,0.51
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,0.99
2015-11-17,0.0
2015-11-18,2.25
2015-11-19,3.0
2015-11-20,1.26
2015-11-21,0.0
2015-11-22,1.47
2015-11-23,0.0
2015-11-24,0.6
2015-11-25,0.0
2015-11-26,0.72
2015-11-27,1.86
2015-11-28,0.0
2015-11-29,1.71
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,0.75
2015-12-03,0.75
2015-12-04,1.02
2015-12-05,1.65
2015-12-06,0.0
2015-12-07,0.48
2015-12-08,1.08
2015-12-09,0.39
2015-12-10,0.6
2015-12-11,1.17
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,0.6599999999999999
2015-12-15,1.53
2015-12-16,0.51
2015-12-17,1.77
2015-12-18,3.0
2015-12-19,1.47
2015-12-20,0.0
2015-12-21,1.41
2015-12-22,0.75
2015-12-23,1.98
2015-12-24,0.63
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,0.0
2015-12-29,0.48
2015-12-30,0.54
2015-12-31,1.02
2016-01-01,0.0
2016-01-02,1.32
2016-01-03,0.0
2016-01-04,1.16
2016-01-05,0.72
2016-01-06,0.84
2016-01-07,3.04
2016-01-08,1.24
2016-01-09,1.12
2016-01-10,0.76
2016-01-11,1.2
2016-01-12,1.56
2016-01-13,1.2
2016-01-14,2.48
2016-01-15,1.48
2016-01-16,2.48
2016-01-17,0.96
2016-01-18,0.6
2016-01-19,2.36
2016-01-20,1.92
2016-01-21,4.0
2016-01-22,2.84
2016-01-23,2.76
2016-01-24,0.0
2016-01-25,1.8
2016-01-26,2.16
2016-01-27,3.76
2016-01-28,4.0
2016-01-29,2.92
2016-01-30,1.68
2016-01-31,0.0
2016-02-01,1.48
2016-02-02,1.76
2016-02-03,2.56
2016-02-04,2.28
2016-02-05,1.8
2016-02-06,0.0
2016-02-07,0.72
2016-02-08,1.2
2016-02-09,2.36
2016-02-10,3.12
2016-02-11,2.52
2016-02-12,3.88
2016-02-13,1.0
2016-02-14,0.84
2016-02-15,1.0
2016-02-16,2.24
2016-02-17,1.72
2016-02-18,4.0
2016-02-19,1.64
