date,Avalanche price
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,12.9
2014-11-25,0.0
2014-11-26,0.0
2014-11-27,0.0
2014-11-28,8.7
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,8.51
2014-12-02,0.0
2014-12-03,6.44
2014-12-04,0.0
2014-12-05,0.0
2014-12-06,0.0
2014-12-07,10.81
2014-12-08,5.0600000000000005
2014-12-09,5.5200000000000005
2014-12-10,0.0
2014-12-11,11.040000000000001
2014-12-12,0.0
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,23.0
2014-12-16,0.0
2014-12-17,0.0
2014-12-18,0.0
2014-12-19,0.0
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,8.74
2014-12-23,0.0
2014-12-24,9.66
2014-12-25,0.0
2014-12-26,15.41
2014-12-27,6.67
2014-12-28,0.0
2014-12-29,22.77
2014-12-30,7.82
2014-12-31,0.0
2015-01-01,4.16
2015-01-02,3.04
2015-01-03,0.0
2015-01-04,16.0
2015-01-05,5.92
2015-01-06,3.68
2015-01-07,0.0
2015-01-08,3.04
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,6.08
2015-01-12,5.12
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,6.72
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,6.4
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-24,4.96
2015-01-25,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,5.55
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,3.75
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,4.6499999999999995
2015-02-08,0.0
2015-02-09,3.5999999999999996
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,3.75
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,15.0
2015-02-16,0.0
2015-02-17,7.8
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,12.75
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,6.6
2015-02-24,3.9
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-02-28,8.85
2015-03-01,12.41
2015-03-02,0.0
2015-03-03,8.16
2015-03-04,6.460000000000001
2015-03-05,0.0
2015-03-06,0.0
2015-03-07,11.39
2015-03-08,8.67
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,9.520000000000001
2015-03-12,0.0
2015-03-13,0.0
2015-03-14,12.41
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,16.66
2015-03-18,8.67
2015-03-19,6.29
2015-03-20,10.88
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,17.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,11.39
2015-03-27,0.0
2015-03-28,13.260000000000002
2015-03-29,0.0
2015-03-30,9.350000000000001
2015-03-31,12.58
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,16.6
2015-04-04,13.4
2015-04-05,0.0
2015-04-06,5.4
2015-04-07,9.4
2015-04-08,7.0
2015-04-09,6.2
2015-04-10,0.0
2015-04-11,0.0
2015-04-12,20.0
2015-04-13,5.2
2015-04-14,11.4
2015-04-15,6.6000000000000005
2015-04-16,11.4
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,8.4
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,5.4
2015-04-24,9.4
2015-04-25,0.0
2015-04-26,7.4
2015-04-27,7.4
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,6.0
2015-05-01,0.0
