date,VZ
2016-02-16,42.300000000000004
2016-02-17,42.300000000000004
2016-02-18,34.2
2016-02-19,33.75
2016-02-20,25.650000000000002
2016-02-21,17.1
2016-02-22,36.0
2016-02-23,40.95
2016-02-24,31.5
2016-02-25,36.0
2016-02-26,38.7
2016-02-27,27.45
2016-02-28,18.900000000000002
2016-02-29,26.55
2016-03-01,40.480000000000004
2016-03-02,38.18
2016-03-03,45.080000000000005
2016-03-04,37.72
2016-03-05,34.5
2016-03-06,28.52
2016-03-07,35.42
2016-03-08,43.7
2016-03-09,44.620000000000005
2016-03-10,41.4
2016-03-11,45.54
2016-03-12,28.98
2016-03-13,15.64
2016-03-14,36.800000000000004
2016-03-15,46.0
2016-03-16,35.88
2016-03-17,45.54
2016-03-18,45.080000000000005
2016-03-19,25.76
2016-03-20,27.14
2016-03-21,33.58
2016-03-22,33.120000000000005
2016-03-23,34.04
2016-03-24,38.18
2016-03-25,28.52
2016-03-26,19.78
2016-03-27,18.86
2016-03-28,33.120000000000005
2016-03-29,42.32
2016-03-30,43.24
2016-03-31,38.18
2016-04-01,36.21
2016-04-02,24.48
2016-04-03,16.32
2016-04-04,33.660000000000004
