date,PG
2015-06-13,59.34
2015-06-14,53.81999999999999
2015-06-15,63.48
2015-06-16,55.2
2015-06-17,60.72
2015-06-18,65.55
2015-06-19,69.0
2015-06-20,57.27
2015-06-21,55.2
2015-06-22,65.55
2015-06-23,64.17
2015-06-24,59.34
2015-06-25,53.13
2015-06-26,59.34
2015-06-27,48.3
2015-06-28,44.85
2015-06-29,55.2
2015-06-30,51.74999999999999
2015-07-01,47.6
2015-07-02,48.16
2015-07-03,49.84
2015-07-04,46.48
2015-07-05,45.92
2015-07-06,45.92
2015-07-07,46.48
2015-07-08,48.720000000000006
2015-07-09,56.00000000000001
2015-07-10,46.48
2015-07-11,42.56
2015-07-12,39.760000000000005
2015-07-13,50.96000000000001
2015-07-14,49.28
2015-07-15,46.48
2015-07-16,43.68000000000001
2015-07-17,45.36000000000001
2015-07-18,36.400000000000006
2015-07-19,41.440000000000005
2015-07-20,47.040000000000006
2015-07-21,49.28
2015-07-22,46.48
2015-07-23,43.68000000000001
2015-07-24,40.32000000000001
2015-07-25,43.68000000000001
2015-07-26,39.760000000000005
2015-07-27,50.400000000000006
2015-07-28,39.760000000000005
2015-07-29,40.88
2015-07-30,50.96000000000001
2015-07-31,46.48
2015-08-01,37.52
2015-08-02,45.36000000000001
2015-08-03,40.88
2015-08-04,47.040000000000006
2015-08-05,43.68000000000001
2015-08-06,45.36000000000001
2015-08-07,42.00000000000001
2015-08-08,38.64
2015-08-09,38.64
2015-08-10,46.48
2015-08-11,46.48
2015-08-12,42.00000000000001
2015-08-13,49.28
2015-08-14,46.48
2015-08-15,45.92
2015-08-16,42.00000000000001
2015-08-17,49.28
2015-08-18,49.84
2015-08-19,45.92
2015-08-20,43.120000000000005
2015-08-21,42.56
2015-08-22,42.00000000000001
2015-08-23,40.32000000000001
2015-08-24,55.440000000000005
2015-08-25,56.00000000000001
2015-08-26,51.52
2015-08-27,50.400000000000006
2015-08-28,50.96000000000001
2015-08-29,41.440000000000005
2015-08-30,45.36000000000001
2015-08-31,47.6
2015-09-01,53.94
2015-09-02,50.84
2015-09-03,47.74
2015-09-04,50.84
2015-09-05,41.54
2015-09-06,48.36
2015-09-07,47.74
2015-09-08,53.32
2015-09-09,55.18
2015-09-10,55.8
2015-09-11,58.9
2015-09-12,55.8
2015-09-13,40.92
2015-09-14,52.7
2015-09-15,57.04
2015-09-16,55.18
2015-09-17,56.42
2015-09-18,62.0
2015-09-19,46.5
2015-09-20,42.78
2015-09-21,53.94
2015-09-22,57.66
2015-09-23,55.18
2015-09-24,51.46
2015-09-25,58.28
2015-09-26,48.36
2015-09-27,44.02
2015-09-28,51.46
2015-09-29,52.7
2015-09-30,60.76
2015-10-01,49.92
2015-10-02,51.84
2015-10-03,42.88
2015-10-04,45.44
2015-10-05,64.0
2015-10-06,60.16
2015-10-07,53.76
2015-10-08,56.32
2015-10-09,53.76
2015-10-10,42.24
2015-10-11,44.16
2015-10-12,59.52
2015-10-13,54.4
2015-10-14,58.88
2015-10-15,58.24
2015-10-16,55.04
2015-10-17,46.72
2015-10-18,48.64
2015-10-19,55.04
2015-10-20,61.44
2015-10-21,57.6
2015-10-22,51.84
2015-10-23,59.52
2015-10-24,51.84
2015-10-25,44.16
2015-10-26,56.96
2015-10-27,61.44
2015-10-28,60.8
2015-10-29,60.16
2015-10-30,55.04
2015-10-31,51.2
2015-11-01,44.25
2015-11-02,53.1
2015-11-03,57.82
2015-11-04,48.97
2015-11-05,51.92
2015-11-06,51.33
2015-11-07,39.53
2015-11-08,40.71
2015-11-09,54.28
2015-11-10,54.28
2015-11-11,44.25
2015-11-12,59.0
2015-11-13,51.33
2015-11-14,43.66
2015-11-15,43.66
2015-11-16,50.74
2015-11-17,52.51
2015-11-18,53.69
2015-11-19,55.46
2015-11-20,47.79
2015-11-21,38.35
2015-11-22,44.25
2015-11-23,44.25
2015-11-24,48.97
2015-11-25,50.15
2015-11-26,46.02
2015-11-27,45.43
2015-11-28,43.07
2015-11-29,46.61
2015-11-30,46.02
2015-12-01,57.66
2015-12-02,58.9
2015-12-03,62.0
2015-12-04,53.94
2015-12-05,47.74
2015-12-06,45.88
2015-12-07,53.32
2015-12-08,55.8
2015-12-09,57.04
2015-12-10,60.76
2015-12-11,55.8
2015-12-12,40.92
2015-12-13,44.02
2015-12-14,55.8
2015-12-15,53.94
2015-12-16,57.04
2015-12-17,52.7
2015-12-18,54.56
2015-12-19,56.42
2015-12-20,44.02
2015-12-21,51.46
2015-12-22,53.94
2015-12-23,47.12
2015-12-24,46.5
2015-12-25,45.26
2015-12-26,50.84
2015-12-27,42.16
2015-12-28,49.6
2015-12-29,48.36
2015-12-30,51.46
2015-12-31,47.74
2016-01-01,41.61
2016-01-02,43.07
2016-01-03,43.8
2016-01-04,46.72
2016-01-05,47.45
2016-01-06,53.29
2016-01-07,50.37
2016-01-08,47.45
2016-01-09,43.07
2016-01-10,38.69
2016-01-11,47.45
2016-01-12,49.64
2016-01-13,48.91
2016-01-14,48.18
2016-01-15,53.29
2016-01-16,44.53
2016-01-17,42.34
2016-01-18,48.91
2016-01-19,59.13
2016-01-20,54.75
2016-01-21,73.0
2016-01-22,51.1
2016-01-23,43.07
2016-01-24,54.75
2016-01-25,59.86
2016-01-26,67.16
2016-01-27,67.89
2016-01-28,62.78
2016-01-29,58.4
2016-01-30,45.99
2016-01-31,43.8
2016-02-01,63.19
2016-02-02,55.38
2016-02-03,57.51
2016-02-04,62.48
2016-02-05,58.93
2016-02-06,46.86
2016-02-07,43.31
2016-02-08,53.96
2016-02-09,66.74
2016-02-10,58.22
2016-02-11,56.09
2016-02-12,57.51
2016-02-13,51.12
2016-02-14,41.89
2016-02-15,57.51
2016-02-16,71.0
2016-02-17,57.51
2016-02-18,56.8
2016-02-19,61.77
2016-02-20,51.83
2016-02-21,48.28
2016-02-22,56.09
2016-02-23,56.8
2016-02-24,56.09
2016-02-25,55.38
2016-02-26,52.54
2016-02-27,48.99
2016-02-28,47.57
2016-02-29,56.8
2016-03-01,46.86
2016-03-02,44.02
2016-03-03,43.31
2016-03-04,47.57
2016-03-05,39.76
2016-03-06,31.24
2016-03-07,45.44
2016-03-08,44.73
2016-03-09,44.73
2016-03-10,42.6
2016-03-11,44.73
2016-03-12,34.08
2016-03-13,46.15
2016-03-14,71.0
2016-03-15,48.99
2016-03-16,43.31
2016-03-17,44.73
2016-03-18,41.18
2016-03-19,32.66
2016-03-20,34.08
2016-03-21,40.47
2016-03-22,41.89
2016-03-23,42.6
2016-03-24,38.34
2016-03-25,36.21
2016-03-26,29.82
2016-03-27,35.5
2016-03-28,44.02
2016-03-29,41.18
2016-03-30,41.89
2016-03-31,40.47
2016-04-01,55.440000000000005
2016-04-02,52.8
2016-04-03,50.82
2016-04-04,60.06
2016-04-05,65.34
2016-04-06,58.74
2016-04-07,62.7
2016-04-08,63.36
2016-04-09,48.84
2016-04-10,47.52
2016-04-11,60.720000000000006
2016-04-12,61.38
2016-04-13,58.74
2016-04-14,58.74
2016-04-15,66.0
2016-04-16,64.68
2016-04-17,54.120000000000005
2016-04-18,59.400000000000006
