date,Visa
2015-01-03,54.78
2015-01-04,56.1
2015-01-05,66.0
2015-01-06,65.34
2015-01-07,60.720000000000006
2015-01-08,61.38
2015-01-09,62.7
2015-01-10,52.14
2015-01-11,46.2
2015-01-12,62.7
2015-01-13,59.400000000000006
2015-01-14,62.7
2015-01-15,57.42
2015-01-16,55.440000000000005
2015-01-17,49.5
2015-01-18,47.52
2015-01-19,54.78
2015-01-20,57.42
2015-01-21,59.400000000000006
2015-01-22,60.06
2015-01-23,56.1
2015-01-24,51.48
2015-01-25,48.18
2015-01-26,52.8
2015-01-27,56.1
2015-01-28,55.440000000000005
2015-01-29,54.78
2015-01-30,57.42
2015-01-31,49.5
2015-02-01,45.14
2015-02-02,51.85
2015-02-03,57.34
2015-02-04,57.34
2015-02-05,55.51
2015-02-06,55.51
2015-02-07,49.41
2015-02-08,47.58
2015-02-09,54.9
2015-02-10,55.51
2015-02-11,53.68
2015-02-12,53.07
2015-02-13,51.85
2015-02-14,43.92
2015-02-15,45.75
2015-02-16,51.24
2015-02-17,52.46
2015-02-18,57.34
2015-02-19,54.9
2015-02-20,50.02
2015-02-21,46.36
2015-02-22,43.92
2015-02-23,53.68
2015-02-24,61.0
2015-02-25,61.0
2015-02-26,54.9
2015-02-27,53.07
2015-02-28,53.07
2015-03-01,46.900000000000006
2015-03-02,62.98
2015-03-03,64.99000000000001
2015-03-04,56.95
2015-03-05,53.6
2015-03-06,54.27
2015-03-07,48.91
2015-03-08,45.56
2015-03-09,64.99000000000001
2015-03-10,67.0
2015-03-11,63.650000000000006
2015-03-12,56.95
2015-03-13,54.27
2015-03-14,46.23
2015-03-15,45.56
2015-03-16,59.63
2015-03-17,51.59
2015-03-18,55.61000000000001
2015-03-19,56.95
2015-03-20,52.260000000000005
2015-03-21,46.23
2015-03-22,44.220000000000006
2015-03-23,54.27
2015-03-24,57.620000000000005
2015-03-25,55.61000000000001
2015-03-26,54.940000000000005
2015-03-27,50.25
2015-03-28,44.89
