date,AAPL
2015-12-16,29.4
2015-12-17,27.3
2015-12-18,28.2
2015-12-19,8.4
2015-12-20,6.6
2015-12-21,30.0
2015-12-22,30.0
2015-12-23,23.1
2015-12-24,21.0
2015-12-25,7.5
2015-12-26,6.3
2015-12-27,5.4
2015-12-28,21.6
2015-12-29,24.9
2015-12-30,20.1
2015-12-31,22.8
2016-01-01,3.71
2016-01-02,3.18
2016-01-03,3.71
2016-01-04,19.61
2016-01-05,22.790000000000003
2016-01-06,29.68
2016-01-07,34.45
2016-01-08,31.8
2016-01-09,6.36
2016-01-10,3.71
2016-01-11,21.200000000000003
2016-01-12,23.85
2016-01-13,24.91
2016-01-14,19.08
2016-01-15,24.380000000000003
2016-01-16,6.36
2016-01-17,3.18
2016-01-18,7.42
2016-01-19,19.08
2016-01-20,24.380000000000003
2016-01-21,21.200000000000003
2016-01-22,24.380000000000003
2016-01-23,6.890000000000001
2016-01-24,4.24
2016-01-25,21.200000000000003
2016-01-26,47.17
2016-01-27,53.0
2016-01-28,33.39
2016-01-29,26.5
2016-01-30,7.95
2016-01-31,4.24
2016-02-01,33.12
2016-02-02,35.64
2016-02-03,34.2
2016-02-04,33.12
2016-02-05,32.4
2016-02-06,9.36
2016-02-07,6.48
2016-02-08,30.6
2016-02-09,33.48
2016-02-10,28.44
2016-02-11,28.44
2016-02-12,28.44
2016-02-13,8.28
2016-02-14,5.4
2016-02-15,13.32
2016-02-16,30.96
2016-02-17,36.0
2016-02-18,30.6
2016-02-19,27.0
2016-02-20,7.56
2016-02-21,4.32
2016-02-22,27.0
2016-02-23,27.0
2016-02-24,25.92
2016-02-25,26.64
2016-02-26,25.56
2016-02-27,7.92
2016-02-28,3.96
2016-02-29,24.48
2016-03-01,25.08
2016-03-02,24.7
2016-03-03,23.56
2016-03-04,22.42
2016-03-05,5.7
2016-03-06,4.18
2016-03-07,22.42
2016-03-08,19.76
2016-03-09,19.76
2016-03-10,19.0
2016-03-11,17.86
2016-03-12,4.94
2016-03-13,2.66
2016-03-14,18.24
2016-03-15,23.18
2016-03-16,23.18
2016-03-17,22.42
2016-03-18,21.28
2016-03-19,4.5600000000000005
2016-03-20,4.18
2016-03-21,38.0
2016-03-22,26.98
2016-03-23,22.8
2016-03-24,19.38
2016-03-25,10.64
2016-03-26,3.8
2016-03-27,2.28
2016-03-28,17.86
2016-03-29,23.56
2016-03-30,26.98
2016-03-31,22.04
2016-04-01,13.34
2016-04-02,3.68
2016-04-03,1.84
2016-04-04,14.72
2016-04-05,15.18
2016-04-06,14.26
2016-04-07,12.42
2016-04-08,11.5
2016-04-09,2.76
2016-04-10,2.3000000000000003
2016-04-11,12.88
2016-04-12,12.42
2016-04-13,13.34
2016-04-14,13.34
2016-04-15,12.88
2016-04-16,2.76
2016-04-17,2.3000000000000003
2016-04-18,13.34
2016-04-19,14.26
2016-04-20,12.42
2016-04-21,12.88
2016-04-22,11.5
2016-04-23,3.68
2016-04-24,2.3000000000000003
2016-04-25,14.26
2016-04-26,38.18
2016-04-27,46.0
2016-04-28,27.14
2016-04-29,25.76
2016-04-30,5.5200000000000005
2016-05-01,6.0
2016-05-02,35.5
2016-05-03,40.5
2016-05-04,30.0
2016-05-05,28.0
2016-05-06,28.0
2016-05-07,8.5
2016-05-08,5.0
2016-05-09,25.5
2016-05-10,29.0
2016-05-11,26.5
2016-05-12,37.0
2016-05-13,38.0
2016-05-14,8.5
2016-05-15,4.0
2016-05-16,50.0
2016-05-17,38.5
2016-05-18,30.0
2016-05-19,27.0
2016-05-20,27.0
2016-05-21,6.5
2016-05-22,5.5
