date,HD
2015-02-14,70.08
2015-02-15,70.08
2015-02-16,64.24
2015-02-17,56.94
2015-02-18,62.05
2015-02-19,55.48
2015-02-20,54.75
2015-02-21,65.7
2015-02-22,70.81
2015-02-23,51.83
2015-02-24,57.67
2015-02-25,55.48
2015-02-26,54.02
2015-02-27,55.48
2015-02-28,67.89
2015-03-01,70.2
2015-03-02,58.5
2015-03-03,60.84
2015-03-04,64.74000000000001
2015-03-05,60.84
2015-03-06,64.74000000000001
2015-03-07,74.88
2015-03-08,76.44
2015-03-09,65.52
2015-03-10,58.5
2015-03-11,65.52
2015-03-12,59.28
2015-03-13,63.18
2015-03-14,76.44
2015-03-15,72.54
2015-03-16,62.400000000000006
2015-03-17,63.18
2015-03-18,63.18
2015-03-19,61.620000000000005
2015-03-20,63.96
2015-03-21,77.22
2015-03-22,75.66
2015-03-23,60.84
2015-03-24,56.940000000000005
2015-03-25,58.5
2015-03-26,60.06
2015-03-27,63.96
2015-03-28,75.66
2015-03-29,78.0
2015-03-30,60.84
2015-03-31,60.06
2015-04-01,55.48
2015-04-02,60.04
2015-04-03,65.36
2015-04-04,72.2
2015-04-05,72.96000000000001
2015-04-06,60.04
2015-04-07,58.52
2015-04-08,57.0
2015-04-09,66.12
2015-04-10,71.44
2015-04-11,76.0
2015-04-12,72.2
2015-04-13,57.0
2015-04-14,59.28
2015-04-15,56.24
2015-04-16,55.48
2015-04-17,57.76
2015-04-18,69.16
2015-04-19,71.44
2015-04-20,61.56
2015-04-21,52.44
2015-04-22,53.2
2015-04-23,59.28
2015-04-24,60.8
2015-04-25,70.68
2015-04-26,66.88
2015-04-27,53.96
2015-04-28,57.76
2015-04-29,56.24
2015-04-30,60.04
2015-05-01,48.91
2015-05-02,59.13
2015-05-03,73.0
2015-05-04,50.37
2015-05-05,51.1
2015-05-06,52.56
2015-05-07,51.83
2015-05-08,51.1
2015-05-09,62.78
2015-05-10,64.24
2015-05-11,48.91
2015-05-12,58.4
2015-05-13,48.91
2015-05-14,49.64
2015-05-15,52.56
2015-05-16,64.24
2015-05-17,60.59
2015-05-18,50.37
2015-05-19,53.29
2015-05-20,48.91
2015-05-21,52.56
2015-05-22,53.29
2015-05-23,64.97
2015-05-24,64.24
2015-05-25,61.32
2015-05-26,51.83
2015-05-27,48.18
2015-05-28,56.21
2015-05-29,55.48
2015-05-30,62.05
2015-05-31,65.7
2015-06-01,51.48
2015-06-02,67.86
2015-06-03,56.16
2015-06-04,60.84
2015-06-05,60.06
2015-06-06,73.32000000000001
2015-06-07,70.2
2015-06-08,53.04
2015-06-09,60.06
2015-06-10,56.940000000000005
2015-06-11,58.5
