date,CRM_unscaled,CRM_monthly,scale,CRM
2014-04-21,85,59.0,0.59,50.15
2014-04-22,90,59.0,0.59,53.099999999999994
2014-04-23,93,59.0,0.59,54.87
2014-04-24,91,59.0,0.59,53.69
2014-04-25,80,59.0,0.59,47.199999999999996
2014-04-26,30,59.0,0.59,17.7
2014-04-27,34,59.0,0.59,20.06
2014-04-28,90,59.0,0.59,53.099999999999994
2014-04-29,100,59.0,0.59,59.0
2014-04-30,89,59.0,0.59,52.51
2014-05-01,77,61.0,0.61,46.97
2014-05-02,65,61.0,0.61,39.65
2014-05-03,34,61.0,0.61,20.74
2014-05-04,27,61.0,0.61,16.47
2014-05-05,83,61.0,0.61,50.629999999999995
2014-05-06,79,61.0,0.61,48.19
2014-05-07,82,61.0,0.61,50.019999999999996
2014-05-08,74,61.0,0.61,45.14
2014-05-09,72,61.0,0.61,43.92
2014-05-10,28,61.0,0.61,17.08
2014-05-11,27,61.0,0.61,16.47
2014-05-12,70,61.0,0.61,42.699999999999996
2014-05-13,79,61.0,0.61,48.19
2014-05-14,80,61.0,0.61,48.8
2014-05-15,72,61.0,0.61,43.92
2014-05-16,70,61.0,0.61,42.699999999999996
2014-05-17,29,61.0,0.61,17.69
2014-05-18,19,61.0,0.61,11.59
2014-05-19,75,61.0,0.61,45.75
2014-05-20,93,61.0,0.61,56.73
2014-05-21,100,61.0,0.61,61.0
2014-05-22,76,61.0,0.61,46.36
2014-05-23,73,61.0,0.61,44.53
2014-05-24,25,61.0,0.61,15.25
2014-05-25,18,61.0,0.61,10.98
2014-05-26,29,61.0,0.61,17.69
2014-05-27,84,61.0,0.61,51.24
2014-05-28,77,61.0,0.61,46.97
2014-05-29,90,61.0,0.61,54.9
2014-05-30,78,61.0,0.61,47.58
2014-05-31,37,61.0,0.61,22.57
2014-06-01,23,61.0,0.61,14.03
2014-06-02,85,61.0,0.61,51.85
2014-06-03,86,61.0,0.61,52.46
2014-06-04,100,61.0,0.61,61.0
2014-06-05,89,61.0,0.61,54.29
2014-06-06,90,61.0,0.61,54.9
2014-06-07,32,61.0,0.61,19.52
2014-06-08,29,61.0,0.61,17.69
2014-06-09,72,61.0,0.61,43.92
2014-06-10,94,61.0,0.61,57.339999999999996
2014-06-11,83,61.0,0.61,50.629999999999995
2014-06-12,90,61.0,0.61,54.9
2014-06-13,78,61.0,0.61,47.58
2014-06-14,31,61.0,0.61,18.91
2014-06-15,23,61.0,0.61,14.03
2014-06-16,82,61.0,0.61,50.019999999999996
2014-06-17,95,61.0,0.61,57.949999999999996
2014-06-18,91,61.0,0.61,55.51
2014-06-19,93,61.0,0.61,56.73
2014-06-20,79,61.0,0.61,48.19
2014-06-21,28,61.0,0.61,17.08
2014-06-22,32,61.0,0.61,19.52
2014-06-23,77,61.0,0.61,46.97
2014-06-24,91,61.0,0.61,55.51
2014-06-25,89,61.0,0.61,54.29
2014-06-26,89,61.0,0.61,54.29
2014-06-27,81,61.0,0.61,49.41
2014-06-28,31,61.0,0.61,18.91
2014-06-29,36,61.0,0.61,21.96
2014-06-30,74,61.0,0.61,45.14
2014-07-01,90,61.0,0.61,54.9
2014-07-02,85,61.0,0.61,51.85
2014-07-03,72,61.0,0.61,43.92
2014-07-04,27,61.0,0.61,16.47
2014-07-05,23,61.0,0.61,14.03
2014-07-06,30,61.0,0.61,18.3
2014-07-07,84,61.0,0.61,51.24
2014-07-08,88,61.0,0.61,53.68
2014-07-09,85,61.0,0.61,51.85
2014-07-10,95,61.0,0.61,57.949999999999996
2014-07-11,88,61.0,0.61,53.68
2014-07-12,32,61.0,0.61,19.52
2014-07-13,30,61.0,0.61,18.3
2014-07-14,82,61.0,0.61,50.019999999999996
2014-07-15,97,61.0,0.61,59.17
2014-07-16,93,61.0,0.61,56.73
2014-07-17,88,61.0,0.61,53.68
2014-07-18,87,61.0,0.61,53.07
2014-07-19,32,61.0,0.61,19.52
2014-07-20,22,61.0,0.61,13.42
2014-07-21,96,61.0,0.61,58.56
2014-07-22,97,61.0,0.61,59.17
2014-07-23,100,61.0,0.61,61.0
2014-07-24,94,61.0,0.61,57.339999999999996
2014-07-25,79,61.0,0.61,48.19
2014-07-26,29,61.0,0.61,17.69
2014-07-27,29,61.0,0.61,17.69
2014-07-28,84,61.0,0.61,51.24
2014-07-29,94,61.0,0.61,57.339999999999996
2014-07-30,90,61.0,0.61,54.9
2014-07-31,84,61.0,0.61,51.24
2014-08-01,67,58.0,0.58,38.86
2014-08-02,29,58.0,0.58,16.82
2014-08-03,27,58.0,0.58,15.659999999999998
2014-08-04,71,58.0,0.58,41.18
2014-08-05,100,58.0,0.58,57.99999999999999
2014-08-06,87,58.0,0.58,50.459999999999994
2014-08-07,84,58.0,0.58,48.72
2014-08-08,80,58.0,0.58,46.4
2014-08-09,28,58.0,0.58,16.24
2014-08-10,20,58.0,0.58,11.6
2014-08-11,73,58.0,0.58,42.339999999999996
2014-08-12,79,58.0,0.58,45.82
2014-08-13,82,58.0,0.58,47.559999999999995
2014-08-14,94,58.0,0.58,54.519999999999996
2014-08-15,70,58.0,0.58,40.599999999999994
2014-08-16,31,58.0,0.58,17.98
2014-08-17,29,58.0,0.58,16.82
2014-08-18,73,58.0,0.58,42.339999999999996
2014-08-19,84,58.0,0.58,48.72
2014-08-20,91,58.0,0.58,52.779999999999994
2014-08-21,86,58.0,0.58,49.879999999999995
2014-08-22,83,58.0,0.58,48.13999999999999
2014-08-23,23,58.0,0.58,13.34
2014-08-24,25,58.0,0.58,14.499999999999998
2014-08-25,77,58.0,0.58,44.66
2014-08-26,83,58.0,0.58,48.13999999999999
2014-08-27,77,58.0,0.58,44.66
2014-08-28,72,58.0,0.58,41.76
2014-08-29,69,58.0,0.58,40.019999999999996
